address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan PJU 1A/3, Ara Damansara, 47301, Selangor","1 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.122806,https://www.iproperty.com.my/property/maisson-ara-damansara-5515057,101.583772,"Maisson, Ara Damansara","RM 345,000",High,500 sq. ft.,Freehold
"Gombak, Batu Caves, Selangor, 68100, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.253582,https://www.iproperty.com.my/property/amara-boulevard-and-service-residences-batu-caves-5542084,101.669762,"Amara Boulevard And Service Residences, Batu ..","RM 325,000",High,829 sq. ft.,Freehold
"Persiaran Kewajipan, USJ 19, 47630, Selangor","2 Bedroom(s),1 Bathroom(s)",,https://www.iproperty.com.my/property/rhythm-avenue-usj-19-usj-5558675,,"Rhythm Avenue Usj 19, Subang Jaya, Usj","RM 320,000",High,640 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.127685,https://www.iproperty.com.my/property/seri-pinang-shah-alam-5546576,101.473513,"Seri Pinang, Setia Alam, Shah Alam","RM 312,000",High,850 sq. ft.,Freehold
"Jalan Cheras Perdana, 43200, Selangor","1 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.041601,https://www.iproperty.com.my/property/livia-c180-cheras-2691256,101.764908,"Livia C180, Cheras","RM 340,000",High,551 sq. ft.,Freehold
"Gombak, Batu Caves, Selangor, 68100, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.253582,https://www.iproperty.com.my/property/amara-boulevard-and-service-residences-batu-caves-5373348,101.669762,"Amara Boulevard And Service Residences, Batu ..","RM 300,000",High,829 sq. ft.,Freehold
"Jalan PJU 1A/3, Ara Damansara, 47301, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.122416,https://www.iproperty.com.my/property/maisson-ara-damansara-5535282,101.589154,"Maisson, Ara Damansara","RM 340,000",High,500 sq. ft.,Freehold
"Lot 507, Taman Sutera, Bukit Angkat, Sg. Chua, 43000, Selang...","2 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",,https://www.iproperty.com.my/property/residensi-sutera-7-kajang-5279918,,"Residensi Sutera 7, Kajang","RM 305,000",High,872 sq. ft.,Freehold
"Jalan Cemara, Taman Bukit Serdang, 43300, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.042718,https://www.iproperty.com.my/property/villa-park-seri-kembangan-4206734,101.689544,"Villa Park, Seri Kembangan","RM 368,000",High,956 sq. ft.,Freehold
"Lengkok Cp 1A, Cheras Perdana, Selangor","3 Bedroom(s),3 Bathroom(s),1 Parking Bay(s)",3.047502,https://www.iproperty.com.my/property/cheras-perdana-ria-apartment-cheras-5503518,101.770255,"Cheras Perdana Ria Apartment, Batu 9Th Cheras..","RM 325,000",High,"1,200 sq. ft.",Freehold
"Persiaran Puchong Jaya Selatan, Bandar Bandar Jaya, 47100, S...","3 Bedroom(s),2 Bathroom(s)",3.041269,https://www.iproperty.com.my/property/sutramas-puchong-5451517,101.623848,"Sutramas, Puchong","RM 300,000",High,815 sq. ft.,Freehold
"Jalan Bukit Mutiara 4, Taman Bukit Mutiara, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.01258,https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5561269,101.811356,"Pangsapuri Saujana Permai, Mutiara Height, Ka..","RM 300,000",High,"10,069 sq. ft.",Freehold
